0.1	9	33	7	9	20	8	11	5	16	14	11	35	15	7	14	16	9	6	12	6	5	9	6	9	8	7	9	4	15	12	5	5	9	6	6	11	17	14	6	21	6	10	9	19	10	19	7	11	11	23	7	9	5	25	13	7	11	20	6	10	6	12	6	4	5	6	4	9	13	9	5	29	8	9	18	3	10	7	19	8	9	15	3	27	8	14	8	7	7	9	6	7	19	11	5	9	15	4	7	11	
0.11	10	5	5	5	31	11	23	4	4	8	6	5	3	5	10	7	10	12	11	8	13	13	12	11	17	5	5	11	6	24	9	7	10	16	13	4	8	5	14	21	18	5	8	6	10	10	14	5	9	17	8	19	7	9	7	4	8	7	6	10	7	9	21	5	12	11	6	5	11	11	5	11	14	5	9	6	8	7	20	8	27	14	10	7	7	19	12	8	10	7	9	10	11	9	14	29	4	11	5	9	
0.12	5	7	11	4	11	7	7	12	15	7	5	5	11	15	13	4	9	7	5	10	7	14	4	24	7	11	5	6	18	9	7	14	4	7	3	3	16	22	5	6	7	5	16	5	4	7	17	11	6	9	8	25	10	5	7	12	8	7	7	10	13	9	30	16	12	9	5	14	7	8	10	12	7	5	8	8	37	6	9	10	9	27	23	5	18	9	4	6	9	4	5	7	13	10	6	11	7	7	14	13	
0.13	22	3	15	15	10	29	7	4	4	7	5	6	9	4	21	12	14	6	8	11	8	12	5	16	5	5	5	5	28	5	15	15	25	13	6	7	13	10	6	17	29	9	5	5	6	7	19	7	5	4	5	19	8	6	7	11	13	5	39	14	5	7	20	12	5	4	10	15	23	6	13	3	20	7	3	11	6	14	3	5	4	5	11	3	8	9	3	6	5	16	17	7	3	8	13	10	6	18	3	5	
0.14	14	12	15	6	13	4	4	4	8	7	2	4	15	6	3	22	13	3	4	6	4	3	8	5	7	6	4	12	3	14	5	10	5	5	5	17	14	2	17	5	8	25	8	13	10	14	4	6	11	9	13	5	5	3	4	7	3	10	2	4	3	4	6	17	10	4	6	3	5	24	8	3	4	11	13	4	16	2	6	8	9	5	20	6	7	5	3	10	11	9	3	3	9	2	19	16	3	2	8	12	
0.15	19	8	6	4	7	6	5	6	4	6	14	32	7	14	7	9	27	4	3	12	6	3	3	3	2	3	8	11	10	17	6	5	9	11	8	8	27	3	5	4	16	5	12	11	13	8	5	7	7	9	5	6	3	11	13	8	5	4	11	11	12	12	13	3	3	21	4	30	4	15	7	6	11	11	6	4	14	16	6	7	15	9	5	17	12	4	5	6	14	7	7	2	5	7	6	8	9	12	8	6	
0.16	9	9	10	8	6	18	4	2	8	3	4	14	19	6	8	24	8	17	2	6	3	7	9	6	13	7	11	7	12	11	15	4	17	8	5	10	3	5	5	4	20	4	5	9	6	9	5	8	2	4	4	22	3	8	6	11	2	10	7	6	11	10	4	7	14	10	7	3	13	9	4	2	7	13	3	6	6	6	3	6	4	2	6	7	6	9	17	9	8	4	5	14	11	4	2	3	5	3	8	8	
0.17	5	4	8	9	6	5	5	24	3	3	5	6	9	5	11	10	7	11	3	5	4	4	3	4	15	8	6	8	7	4	12	8	9	5	3	3	13	9	8	7	9	10	7	11	8	9	11	7	7	6	9	4	2	16	3	6	13	13	7	5	10	7	7	7	12	8	7	13	21	8	3	7	4	14	4	6	8	2	8	8	8	18	7	6	7	6	2	5	20	13	3	9	10	2	6	7	17	12	4	5	
0.18	5	6	18	7	4	8	15	9	9	14	9	6	6	11	6	3	8	4	4	16	9	9	12	4	7	5	5	4	4	5	8	4	3	6	10	6	7	11	4	8	8	5	3	4	14	5	15	6	11	2	13	4	8	3	2	8	7	10	8	3	5	13	7	16	7	7	3	4	10	4	7	4	5	7	14	7	3	11	12	12	4	6	5	4	6	3	6	5	9	3	2	9	17	17	8	11	5	11	9	14	
0.19	5	8	12	5	6	7	2	3	10	7	5	4	8	8	4	6	3	5	4	13	8	10	8	13	5	4	12	10	9	3	4	3	3	6	11	5	9	7	2	7	4	5	10	5	2	6	7	7	3	4	2	6	8	12	6	3	14	19	6	7	4	9	3	4	3	6	5	8	5	3	6	12	4	13	6	16	2	3	12	6	10	8	18	5	3	4	4	11	4	5	4	10	9	12	7	5	8	4	7	10	
